State,Agency Type,Agency,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Annual Hate crime,Population,State_Lat,State_Long
Alaska,Cities,Anchorage,4,0,2,0,0,0,1,2,3,0,6,287731,63.58875,-154.493062
Alaska,Cities,Fairbanks,1,0,0,0,0,0,0,1,0,0,1,31493,63.58875,-154.493062
Alaska,Cities,Kotzebue,1,0,0,0,0,0,0,0,1,0,1,3272,63.58875,-154.493062
Alaska,Cities,North Pole,1,0,0,0,0,0,0,1,0,,1,2111,63.58875,-154.493062
Alaska,Cities,Soldotna,0,0,2,0,0,0,0,0,0,2,2,4756,63.58875,-154.493062
Arizona,Cities,Apache Junction,2,1,1,1,0,0,1,3,0,1,5,42531,34.048928,-111.093731
Arizona,Cities,Casa Grande,1,0,0,0,0,0,0,0,1,0,1,58366,34.048928,-111.093731
Arizona,Cities,Coolidge,4,0,0,0,0,0,2,2,0,0,4,13138,34.048928,-111.093731
Arizona,Cities,Flagstaff,0,1,0,0,0,0,1,0,0,0,1,75013,34.048928,-111.093731
Arizona,Cities,Gilbert,0,2,0,0,0,0,1,0,1,0,2,253619,34.048928,-111.093731
Arizona,Cities,Glendale,9,0,0,0,0,0,2,2,4,1,9,253951,34.048928,-111.093731
Arizona,Cities,Mesa,2,0,1,0,0,0,0,0,1,2,3,518160,34.048928,-111.093731
Arizona,Cities,Page,1,0,0,0,0,0,0,1,,,1,7588,34.048928,-111.093731
Arizona,Cities,Phoenix,111,20,23,0,2,3,31,43,33,44,151,1688722,34.048928,-111.093731
Arizona,Cities,San Luis,1,0,0,0,0,0,0,0,0,1,1,34192,34.048928,-111.093731
Arizona,Cities,Scottsdale,1,1,1,0,0,0,1,2,0,0,3,260464,34.048928,-111.093731
Arizona,Cities,Somerton,1,0,0,0,0,0,0,0,0,1,1,16771,34.048928,-111.093731
Arizona,Cities,Surprise,2,1,0,0,0,0,0,2,0,1,3,140962,34.048928,-111.093731
Arizona,Cities,Tempe,1,0,0,0,0,0,0,1,0,0,1,196499,34.048928,-111.093731
Arizona,Cities,Tucson,6,6,4,0,0,0,4,5,5,2,16,548374,34.048928,-111.093731
Arizona,Cities,Yuma,1,0,0,2,0,0,1,0,0,2,3,98769,34.048928,-111.093731
Arizona,Universities and Colleges,University of Arizona,0,4,0,0,0,0,1,0,1,2,4,48318,34.048928,-111.093731
Arkansas,Cities,Benton,1,0,0,0,0,0,0,0,0,1,1,37161,35.20105,-91.831833
Arkansas,Cities,Conway,1,0,0,0,0,0,0,0,1,0,1,67336,35.20105,-91.831833
Arkansas,Cities,Fort Smith,4,0,0,0,0,0,0,0,2,2,4,88041,35.20105,-91.831833
Arkansas,Cities,Searcy,1,0,0,0,0,0,0,0,0,1,1,23873,35.20105,-91.831833
Arkansas,Nonmetropolitan Counties,Logan,1,0,0,0,0,0,0,0,0,1,1,52248.5,35.20105,-91.831833
Arkansas,Nonmetropolitan Counties,Pope,0,0,1,0,0,0,0,1,0,0,1,52248.5,35.20105,-91.831833
California,Cities,Alameda,2,0,0,0,0,0,0,1,0,1,2,78907,36.778261,-119.417932
California,Cities,Antioch,2,1,1,0,0,0,0,2,1,1,4,112641,36.778261,-119.417932
California,Cities,Apple Valley,0,0,2,0,0,0,0,2,0,0,2,74051,36.778261,-119.417932
California,Cities,Arvin,0,1,0,0,0,0,0,1,0,0,1,21811,36.778261,-119.417932
California,Cities,Azusa,2,0,1,0,0,0,0,2,1,0,3,50405,36.778261,-119.417932
California,Cities,Bakersfield,1,0,1,1,0,0,1,0,1,1,3,388080,36.778261,-119.417932
California,Cities,Beaumont,1,0,0,0,0,0,0,0,1,0,1,50990,36.778261,-119.417932
California,Cities,Bell,0,0,1,0,1,0,1,1,,0,2,35759,36.778261,-119.417932
California,Cities,Bellflower,1,0,0,0,0,0,0,1,0,0,1,77196,36.778261,-119.417932
California,Cities,Bell Gardens,0,0,1,0,0,0,0,1,0,0,1,42366,36.778261,-119.417932
California,Cities,Belmont,0,0,1,0,0,1,0,0,0,2,2,27272,36.778261,-119.417932
California,Cities,Berkeley,4,2,2,0,0,0,0,2,0,6,8,122788,36.778261,-119.417932
California,Cities,Beverly Hills,1,6,2,0,0,0,2,2,2,3,9,34211,36.778261,-119.417932
California,Cities,Big Bear,1,0,0,0,0,0,0,1,0,0,1,5311,36.778261,-119.417932
California,Cities,Brea,0,1,4,0,0,0,0,4,0,1,5,44155,36.778261,-119.417932
California,Cities,Brentwood,0,4,0,0,0,0,1,0,2,1,4,65483,36.778261,-119.417932
California,Cities,Brisbane,1,0,0,0,0,0,1,0,0,0,1,4746,36.778261,-119.417932
California,Cities,Buena Park,1,0,0,0,0,0,0,1,0,0,1,82627,36.778261,-119.417932
California,Cities,Burbank,7,0,0,0,0,0,2,4,1,0,7,103738,36.778261,-119.417932
California,Cities,Camarillo,1,0,0,0,0,0,0,1,0,0,1,69628,36.778261,-119.417932
California,Cities,Capitola,0,1,0,0,0,0,0,1,0,0,1,10101,36.778261,-119.417932
California,Cities,Carlsbad,5,0,0,0,0,0,0,2,0,3,5,117220,36.778261,-119.417932
California,Cities,Cathedral City,1,0,0,0,0,0,0,0,0,1,1,55346,36.778261,-119.417932
California,Cities,Central Marin,0,1,0,0,0,0,0,0,1,0,1,34793,36.778261,-119.417932
California,Cities,Chico,2,0,0,0,0,0,0,2,0,0,2,95826,36.778261,-119.417932
California,Cities,Chino,2,1,0,0,0,0,0,0,1,2,3,93348,36.778261,-119.417932
California,Cities,Chula Vista,6,2,0,0,1,0,4,1,2,2,9,275230,36.778261,-119.417932
California,Cities,Citrus Heights,1,0,1,0,0,0,0,1,0,1,2,88496,36.778261,-119.417932
California,Cities,Claremont,1,0,1,0,0,0,0,0,1,1,2,36681,36.778261,-119.417932
California,Cities,Clearlake,2,1,0,0,0,0,2,0,1,0,3,15400,36.778261,-119.417932
California,Cities,Clovis,1,0,0,0,0,0,0,0,0,1,1,114170,36.778261,-119.417932
California,Cities,Coachella,0,0,1,0,0,0,0,1,0,0,1,46485,36.778261,-119.417932
California,Cities,Compton,1,0,0,0,0,0,1,0,0,0,1,96638,36.778261,-119.417932
California,Cities,Concord,2,0,0,0,0,0,1,0,1,0,2,130615,36.778261,-119.417932
California,Cities,Coronado,0,0,1,0,0,1,0,0,2,0,2,21115,36.778261,-119.417932
California,Cities,Costa Mesa,3,0,0,0,0,0,1,0,2,0,3,114047,36.778261,-119.417932
California,Cities,Cupertino,1,0,0,0,0,0,0,0,0,1,1,60357,36.778261,-119.417932
California,Cities,Cypress,1,0,0,0,0,0,0,0,0,1,1,49085,36.778261,-119.417932
California,Cities,Davis,0,1,0,0,0,0,0,1,0,0,1,69767,36.778261,-119.417932
California,Cities,Delano,2,0,0,0,0,0,1,0,1,0,2,53002,36.778261,-119.417932
California,Cities,Dublin,1,0,0,0,0,0,0,0,1,0,1,66072,36.778261,-119.417932
California,Cities,El Cajon,1,0,0,0,0,0,0,1,0,0,1,103686,36.778261,-119.417932
California,Cities,El Cerrito,1,0,0,0,0,0,0,0,0,1,1,25857,36.778261,-119.417932
California,Cities,Elk Grove,0,1,0,0,0,0,0,0,0,1,1,175492,36.778261,-119.417932
California,Cities,El Monte,3,0,0,0,0,0,2,1,0,0,3,115830,36.778261,-119.417932
California,Cities,El Segundo,1,0,0,0,0,0,0,0,0,1,1,16727,36.778261,-119.417932
California,Cities,Emeryville,1,0,0,0,0,0,0,1,0,0,1,12380,36.778261,-119.417932
California,Cities,Escondido,3,1,0,0,0,0,2,0,0,2,4,153215,36.778261,-119.417932
California,Cities,Eureka,1,0,1,0,0,0,1,1,0,0,2,26973,36.778261,-119.417932
California,Cities,Fairfield,1,0,1,0,0,0,2,0,0,0,2,118383,36.778261,-119.417932
California,Cities,Folsom,0,0,1,0,0,0,0,0,0,1,1,79927,36.778261,-119.417932
California,Cities,Fontana,1,0,0,0,0,0,0,0,1,0,1,215883,36.778261,-119.417932
California,Cities,Fountain Valley,1,0,0,0,0,0,0,1,0,0,1,55858,36.778261,-119.417932
California,Cities,Fremont,2,2,0,0,0,0,0,1,1,2,4,240887,36.778261,-119.417932
California,Cities,Fresno,8,2,2,0,0,2,10,2,2,,14,534285,36.778261,-119.417932
California,Cities,Fullerton,1,0,1,0,0,0,1,0,1,0,2,140194,36.778261,-119.417932
California,Cities,Galt,0,0,1,0,0,0,1,0,0,0,1,26796,36.778261,-119.417932
California,Cities,Garden Grove,1,0,1,0,0,1,0,2,0,1,3,172832,36.778261,-119.417932
California,Cities,Greenfield,1,0,0,0,0,0,,0,1,0,1,17809,36.778261,-119.417932
California,Cities,Hawthorne,2,0,2,0,1,1,0,2,2,2,6,87305,36.778261,-119.417932
California,Cities,Hayward,4,0,0,0,0,0,1,1,1,1,4,161588,36.778261,-119.417932
